iter	Passed	Remaining
709	1533382	9265086
710	1535677	9263740
711	1537892	9261917
712	1539896	9258818
713	1541880	9255604
714	1543665	9251197
715	1545844	9249161
716	1547601	9244600
717	1549835	9242888
718	1552277	9242419
719	1554674	9241675
720	1556612	9238202
721	1558831	9236400
722	1560551	9231643
723	1562830	9230196
724	1565501	9231058
725	1568040	9231136
726	1569957	9227549
727	1572210	9225941
728	1574509	9224594
729	1576166	9219494
730	1578181	9216496
731	1580427	9214842
732	1582769	9213748
733	1585492	9214865
734	1587458	9211579
735	1589694	9209861
736	1592011	9208607
737	1593980	9205343
738	1596043	9202625
739	1598114	9199958
740	1600916	9201488
741	1603441	9201418
742	1605748	9200098
743	1607763	9197101
744	1610026	9195517
745	1611793	9191110
746	1614198	9190344
747	1616516	9189074
748	1618725	9187184
749	1621611	9189129
750	1624015	9188340
751	1625991	9185122
752	1628372	9184194
753	1630100	9179584
754	1631607	9173737
755	1633847	9172022
756	1636248	9171206
757	1638030	9166919
758	1640220	9164920
759	1642438	9163077
760	1644840	9162256
761	1647341	9161986
762	1649292	9158654
763	1651565	9157110
764	1654156	9157324
765	1656189	9154447
766	1658239	9151667
767	1660457	9149812
768	1662740	9148318
769	1664692	9145000
770	1666967	9143458
771	1669424	9142912
772	1671511	9140333
773	1673500	9137224
774	1675692	9135228
775	1677550	9131409
776	1679101	9125930
777	1681171	9123274
778	1683363	9121279
779	1685589	9119471
780	1687935	9118308
781	1690221	9116822
782	1692091	9113087
783	1694052	9109855
784	1695879	9105901
785	1697904	9103012
786	1700044	9100747
787	1702296	9099078
788	1703976	9094355
789	1706318	9093167
790	1708592	9091612
791	1711035	9090957
792	1713212	9088881
793	1715267	9086165
794	1717708	9085488
795	1719674	9082299
796	1721725	9079561
797	1724037	9078204
798	1726085	9075448
799	1728395	9074077
800	1730661	9072470
801	1732692	9069628
802	1734658	9066453
803	1736482	9062537
804	1738659	9060467
805	1741017	9059339
806	1743261	9057615
807	1745499	9055860
808	1746731	9048889
809	1748201	9043166
810	1750234	9040358
811	1752412	9038306
812	1754182	9034146
813	1756387	9032235
814	1758880	9031795
815	1761185	9030390
816	1763568	9029383
817	1765788	9027538
818	1768171	9026526
819	1769964	9022503
820	1772364	9021573
821	1774629	9019956
822	1776608	9016882
823	1778873	9015259
824	1780999	9012935
825	1783053	9010246
826	1785299	9008533
827	1787526	9006713
828	1789632	9004288
829	1791941	9002886
830	1793420	8997318
831	1795721	8995875
832	1797933	8993983
833	1800199	8992363
834	1802235	8989596
835	1804694	8988931
836	1806421	8984627
837	1808638	8982761
838	1810642	8979837
839	1812862	8977987
840	1815108	8976263
841	1817167	8973613
842	1819835	8973970
843	1822075	8972209
844	1824185	8969809
845	1826274	8967311
846	1828569	8965818
847	1830952	8964758
848	1833509	8964542
849	1836178	8964870
850	1838421	8963115
851	1840471	8960415
852	1842746	8958817
853	1845097	8957582
854	1847399	8956106
855	1849420	8953269
856	1851769	8952018
857	1854027	8950329
858	1856156	8948011
859	1858266	8945607
860	1860749	8944998
861	1863146	8943968
862	1865348	8942000
863	1866786	8936376
864	1869088	8934892
865	1870899	8931060
866	1873283	8929963
867	1875594	8928520
868	1876812	8921879
869	1879124	8920439
870	1881205	8917907
871	1883701	8917337
872	1885427	8913125
873	1886927	8907851
874	1889092	8905722
875	1891060	8902665
876	1892611	8897650
877	1894850	8895869
878	1897032	8893822
879	1899389	8892596
880	1901098	8888334
881	1903678	8888151
882	1906095	8887197
883	1908392	8885683
884	1910589	8883700
885	1912878	8882144
886	1915462	8881960
887	1917524	8879345
888	1919823	8877833
889	1922094	8876190
890	1924043	8873057
891	1926426	8871930
892	1928443	8869110
893	1930427	8866146
894	1932641	8864238
895	1934910	8862579
896	1937229	8861151
897	1939999	8861778
898	1942316	8860332
899	1944353	8857611
900	1946768	8856607
901	1949024	8854881
902	1951309	8853283
903	1953413	8850864
904	1955805	8849749
905	1958067	8848045
906	1960392	8846622
907	1961888	8841464
908	1964016	8839154
909	1966216	8837172
910	1968396	8835096
911	1970556	8832932
